Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,16,3,.842,—,14,5,102.6,95.3
Toronto Raptors,11,6,.647,4.0,12,5,109.8,103.8
Detroit Pistons,11,6,.647,4.0,10,7,104.0,102.1
Cleveland Cavaliers,11,7,.611,4.5,9,9,111.4,110.7
Philadelphia 76ers,10,7,.588,5.0,9,8,108.4,107.2
New York Knicks,10,7,.588,5.0,9,8,104.9,103.4
Indiana Pacers,10,8,.556,5.5,10,8,108.9,107.3
Washington Wizards,10,8,.556,5.5,11,7,108.4,104.3
Milwaukee Bucks,9,8,.529,6.0,7,10,102.1,104.6
Miami Heat,8,9,.471,7.0,7,10,100.5,102.8
Charlotte Hornets,8,9,.471,7.0,9,8,106.9,106.5
Orlando Magic,8,10,.444,7.5,8,10,107.3,109.0
Brooklyn Nets,6,11,.353,9.0,7,10,110.5,114.2
Chicago Bulls,3,13,.188,11.5,3,13,94.4,105.1
Atlanta Hawks,3,15,.167,12.5,6,12,102.8,108.2
Houston Rockets,14,4,.778,—,14,4,113.3,103.5
Golden State Warriors,13,5,.722,1.0,14,4,116.4,107.5
San Antonio Spurs,11,7,.611,3.0,10,8,100.7,98.7
Minnesota Timberwolves,11,7,.611,3.0,9,9,108.1,108.2
Portland Trail Blazers,10,8,.556,4.0,12,6,101.6,97.4
New Orleans Pelicans,10,8,.556,4.0,9,9,108.6,109.2
Denver Nuggets,10,8,.556,4.0,9,9,108.1,107.3
Oklahoma City Thunder,8,9,.471,5.5,12,5,103.5,98.1
Utah Jazz,8,11,.421,6.5,10,9,100.3,100.0
Los Angeles Lakers,8,11,.421,6.5,8,11,105.3,107.1
Memphis Grizzlies,7,10,.412,6.5,8,9,99.8,100.9
Phoenix Suns,7,12,.368,7.5,5,14,107.8,115.8
Los Angeles Clippers,6,11,.353,7.5,8,9,105.6,106.4
Sacramento Kings,5,13,.278,9.0,3,15,94.3,105.6
Dallas Mavericks,4,15,.211,10.5,6,13,98.9,105.2
