Team,Odds,W-L O/U,Result,Probability
Los Angeles Clippers,+425,53.5,2-0 (under),0.1905
Los Angeles Lakers,+450,50.5,1-1 (under),0.1818
Milwaukee Bucks,+550,57.5,1-0 (under),0.1538
Houston Rockets,+700,54.0,0-1 (under),0.125
Philadelphia 76ers,+775,54.5,1-0 (under),0.1143
Golden State Warriors,+950,47.5,0-1 (under),0.0952
Utah Jazz,+1300,53.5,1-1 (under),0.0714
Denver Nuggets,+2000,53.0,2-0 (under),0.0476
Boston Celtics,+2900,48.5,1-1 (under),0.0333
Portland Trail Blazers,+3500,46.5,1-1 (under),0.0278
Indiana Pacers,+5000,46.5,0-1 (under),0.0196
Brooklyn Nets,+5500,43.5,1-1 (under),0.0179
Toronto Raptors,+5500,46.5,1-1 (under),0.0179
San Antonio Spurs,+6000,46.5,1-0 (under),0.0164
Miami Heat,+6000,43.5,1-0 (under),0.0164
Dallas Mavericks,+10500,40.5,2-0 (under),0.0094
New Orleans Pelicans,+12500,37.5,0-2 (under),0.0079
Sacramento Kings,+15000,37.5,0-2 (under),0.0066
Orlando Magic,+20000,41.5,1-0 (under),0.005
Atlanta Hawks,+25000,33.5,1-0 (under),0.004
Detroit Pistons,+25000,37.5,1-1 (under),0.004
Oklahoma City Thunder,+25000,32.5,0-2 (under),0.004
Chicago Bulls,+42500,33.5,1-1 (under),0.0023
Minnesota Timberwolves,+50000,35.5,2-0 (under),0.002
Phoenix Suns,+50000,29.5,1-1 (under),0.002
Memphis Grizzlies,+100000,27.5,0-2 (under),0.001
New York Knicks,+100000,26.5,0-2 (under),0.001
Washington Wizards,+125000,27.0,1-1 (under),0.0008
Cleveland Cavaliers,+150000,24.5,0-1 (under),0.0007
Charlotte Hornets,+200000,23.5,1-1 (under),0.0005
