Team,Odds,W-L O/U,Result,Probability
Golden State Warriors,-168,62.5,57-25 (under),0.6269
Boston Celtics,+620,59.0,49-33 (under),0.1389
Houston Rockets,+1000,56.5,53-29 (under),0.0909
Los Angeles Lakers,+1800,48.5,37-45 (under),0.0526
Toronto Raptors,+1850,55.5,58-24 (over),0.0513
Philadelphia 76ers,+2000,53.5,51-31 (under),0.0476
Oklahoma City Thunder,+3800,48.5,49-33 (over),0.0256
Milwaukee Bucks,+10000,48.0,60-22 (over),0.0099
New Orleans Pelicans,+10000,45.5,33-49 (under),0.0099
San Antonio Spurs,+10000,43.5,48-34 (over),0.0099
Utah Jazz,+10000,49.5,50-32 (over),0.0099
Washington Wizards,+11000,45.5,32-50 (under),0.009
Indiana Pacers,+12500,47.5,48-34 (over),0.0079
Denver Nuggets,+20000,47.5,54-28 (over),0.005
Minnesota Timberwolves,+25000,41.5,36-46 (under),0.004
Portland Trail Blazers,+30000,42.0,53-29 (over),0.0033
Miami Heat,+35000,43.0,39-43 (under),0.0028
New York Knicks,+35000,28.5,17-65 (under),0.0028
Dallas Mavericks,+35000,35.5,33-49 (under),0.0028
Detroit Pistons,+35000,38.5,41-41 (over),0.0028
Los Angeles Clippers,+40000,37.0,48-34 (over),0.0025
Chicago Bulls,+50000,30.0,22-60 (under),0.002
Cleveland Cavaliers,+50000,30.5,19-63 (under),0.002
Charlotte Hornets,+50000,35.5,39-43 (over),0.002
Memphis Grizzlies,+65000,34.5,33-49 (under),0.0015
Orlando Magic,+75000,31.0,42-40 (over),0.0013
Phoenix Suns,+75000,29.0,19-63 (under),0.0013
Brooklyn Nets,+125000,32.0,42-40 (over),0.0008
Atlanta Hawks,+150000,23.5,29-53 (over),0.0007
Sacramento Kings,+200000,26.0,39-43 (over),0.0005
