Team,Odds,W-L O/U,Result,Probability
Miami Heat,+200,61.5,54-28 (under),0.3333
Oklahoma City Thunder,+550,51.5,59-23 (over),0.1538
Chicago Bulls,+1000,56.5,48-34 (under),0.0909
Brooklyn Nets,+1200,52.5,44-38 (under),0.0769
Houston Rockets,+1200,54.5,54-28 (under),0.0769
San Antonio Spurs,+1200,55.5,62-20 (over),0.0769
Los Angeles Clippers,+1400,57.5,57-25 (under),0.0667
Indiana Pacers,+1400,54.5,56-26 (over),0.0667
New York Knicks,+2200,50.0,37-45 (under),0.0435
Golden State Warriors,+2500,51.0,51-31 (over),0.0385
Los Angeles Lakers,+2500,36.5,27-55 (under),0.0385
Memphis Grizzlies,+2800,50.5,50-32 (under),0.0345
Denver Nuggets,+3300,46.5,36-46 (under),0.0294
Dallas Mavericks,+4000,43.5,49-33 (over),0.0244
Atlanta Hawks,+6600,39.5,38-44 (under),0.0149
Cleveland Cavaliers,+6600,40.5,33-49 (under),0.0149
Portland Trail Blazers,+8000,38.5,54-28 (over),0.0123
Utah Jazz,+8000,26.5,25-57 (under),0.0123
New Orleans Pelicans,+10000,39.0,34-48 (under),0.0099
Philadelphia 76ers,+10000,16.5,19-63 (over),0.0099
Boston Celtics,+10000,28.5,25-57 (under),0.0099
Minnesota Timberwolves,+10000,40.5,40-42 (under),0.0099
Washington Wizards,+10000,39.5,44-38 (over),0.0099
Detroit Pistons,+12500,40.5,29-53 (under),0.0079
Milwaukee Bucks,+15000,28.5,15-67 (under),0.0066
Sacramento Kings,+15000,31.5,28-54 (under),0.0066
Toronto Raptors,+15000,35.5,48-34 (over),0.0066
Phoenix Suns,+20000,20.5,48-34 (over),0.005
Charlotte Bobcats,+30000,26.0,43-39 (over),0.0033
Orlando Magic,+30000,23.5,23-59 (under),0.0033
