Team,Odds,W-L O/U,Result,Probability
Golden State Warriors,-128,66.5,67-15 (over),0.5614
Cleveland Cavaliers,+385,56.5,51-31 (under),0.2062
San Antonio Spurs,+925,57.5,61-21 (over),0.0976
Boston Celtics,+2900,52.5,53-29 (over),0.0333
Los Angeles Clippers,+3500,53.5,51-31 (under),0.0278
Toronto Raptors,+5500,50.5,51-31 (over),0.0179
Oklahoma City Thunder,+6000,45.0,47-35 (over),0.0164
New York Knicks,+7500,38.5,31-51 (under),0.0132
Indiana Pacers,+8000,44.5,42-40 (under),0.0123
Memphis Grizzlies,+8800,42.5,43-39 (over),0.0112
Chicago Bulls,+9000,39.0,41-41 (over),0.011
Minnesota Timberwolves,+10000,41.5,31-51 (under),0.0099
Atlanta Hawks,+10000,43.5,43-39 (under),0.0099
Utah Jazz,+10000,47.5,51-31 (over),0.0099
Portland Trail Blazers,+13000,45.5,41-41 (under),0.0076
Detroit Pistons,+14000,44.5,37-45 (under),0.0071
New Orleans Pelicans,+14500,36.5,34-48 (under),0.0068
Washington Wizards,+16000,42.5,49-33 (over),0.0062
Houston Rockets,+16000,44.0,55-27 (over),0.0062
Miami Heat,+17500,34.5,41-41 (over),0.0057
Milwaukee Bucks,+18000,34.5,42-40 (over),0.0055
Orlando Magic,+22500,37.5,29-53 (under),0.0044
Los Angeles Lakers,+39000,24.5,26-56 (over),0.0026
Dallas Mavericks,+39000,39.5,33-49 (under),0.0026
Denver Nuggets,+50000,37.0,40-42 (over),0.002
Sacramento Kings,+50000,33.5,32-50 (under),0.002
Philadelphia 76ers,+50000,23.5,28-54 (over),0.002
Charlotte Hornets,+55000,42.5,36-46 (under),0.0018
Phoenix Suns,+85000,29.5,24-58 (under),0.0012
Brooklyn Nets,+135000,21.5,20-62 (under),0.0007
