Team,Odds,W-L O/U,Result,Probability
Miami Heat,+225,47.5,46-20 (under),0.3077
Los Angeles Lakers,+450,42.5,41-25 (under),0.1818
Chicago Bulls,+550,47.5,50-16 (over),0.1538
Oklahoma City Thunder,+700,46.5,47-19 (over),0.125
Dallas Mavericks,+850,44.5,36-30 (under),0.1053
Boston Celtics,+1600,40.5,39-27 (under),0.0588
New York Knicks,+1600,41.5,36-30 (under),0.0588
Los Angeles Clippers,+2000,42.5,40-26 (under),0.0476
Memphis Grizzlies,+2500,37.5,41-25 (over),0.0385
Orlando Magic,+2500,37.5,37-29 (under),0.0385
Portland Trail Blazers,+3300,37.5,28-38 (under),0.0294
San Antonio Spurs,+3300,40.5,50-16 (over),0.0294
New Jersey Nets,+4000,27.5,22-44 (under),0.0244
Atlanta Hawks,+5000,34.5,40-26 (over),0.0196
Houston Rockets,+6600,33.5,34-32 (over),0.0149
Denver Nuggets,+6600,36.5,38-28 (over),0.0149
Indiana Pacers,+6600,36.5,42-24 (over),0.0149
Phoenix Suns,+10000,29.5,33-33 (over),0.0099
Utah Jazz,+10000,25.5,36-30 (over),0.0099
Milwaukee Bucks,+12500,31.5,31-35 (under),0.0079
Golden State Warriors,+12500,29.5,23-43 (under),0.0079
Philadelphia 76ers,+12500,36.5,35-31 (under),0.0079
Washington Wizards,+15000,20.5,20-46 (under),0.0066
New Orleans Hornets,+15000,25.5,21-45 (under),0.0066
Detroit Pistons,+20000,21.5,25-41 (over),0.005
Sacramento Kings,+20000,20.5,22-44 (over),0.005
Charlotte Bobcats,+20000,19.5,7-59 (under),0.005
Cleveland Cavaliers,+20000,17.5,21-45 (over),0.005
Minnesota Timberwolves,+20000,23.5,26-40 (over),0.005
Toronto Raptors,+25000,16.5,23-43 (over),0.004
