Team,Odds,W-L O/U,Result,Probability
Golden State Warriors,-187,67.5,58-24 (under),0.6516
Cleveland Cavaliers,+515,53.5,50-32 (under),0.1626
Boston Celtics,+1200,53.5,55-27 (over),0.0769
San Antonio Spurs,+1800,55.0,47-35 (under),0.0526
Houston Rockets,+2150,55.5,65-17 (over),0.0444
Oklahoma City Thunder,+2150,53.5,48-34 (under),0.0444
Minnesota Timberwolves,+5000,48.5,47-35 (under),0.0196
Milwaukee Bucks,+8000,47.5,44-38 (under),0.0123
Washington Wizards,+9000,48.5,43-39 (under),0.011
Toronto Raptors,+15000,48.5,59-23 (over),0.0066
Los Angeles Clippers,+19000,43.5,42-40 (under),0.0052
Philadelphia 76ers,+19000,39.5,52-30 (over),0.0052
Denver Nuggets,+20000,45.5,46-36 (over),0.005
New Orleans Pelicans,+22000,39.5,48-34 (over),0.0045
Miami Heat,+24000,43.5,44-38 (over),0.0041
Utah Jazz,+25000,40.5,48-34 (over),0.004
Los Angeles Lakers,+30000,33.5,35-47 (over),0.0033
Portland Trail Blazers,+31500,42.5,49-33 (over),0.0032
Memphis Grizzlies,+37000,37.5,22-60 (under),0.0027
Charlotte Hornets,+50000,42.5,36-46 (under),0.002
Dallas Mavericks,+50000,35.5,24-58 (under),0.002
Detroit Pistons,+63000,38.5,39-43 (over),0.0016
New York Knicks,+100000,30.5,29-53 (under),0.001
Indiana Pacers,+125000,31.5,48-34 (over),0.0008
Phoenix Suns,+125000,28.5,21-61 (under),0.0008
Sacramento Kings,+125000,27.5,27-55 (under),0.0008
Atlanta Hawks,+200000,25.5,24-58 (under),0.0005
Brooklyn Nets,+250000,27.5,28-54 (over),0.0004
Chicago Bulls,+250000,22.0,27-55 (over),0.0004
Orlando Magic,+250000,33.5,25-57 (under),0.0004
