Team,Odds,W-L O/U,Result,Probability
Cleveland Cavaliers,+280,56.5,57-25 (over),0.2632
Golden State Warriors,+480,59.5,73-9 (over),0.1724
San Antonio Spurs,+500,56.5,67-15 (over),0.1667
Oklahoma City Thunder,+750,57.5,55-27 (under),0.1176
Los Angeles Clippers,+1200,56.5,53-29 (under),0.0769
Houston Rockets,+1500,56.5,41-41 (under),0.0625
Chicago Bulls,+1600,50.5,42-40 (under),0.0588
Memphis Grizzlies,+3300,50.5,42-40 (under),0.0294
New Orleans Pelicans,+3300,45.0,30-52 (under),0.0294
Atlanta Hawks,+3600,49.5,48-34 (under),0.027
Miami Heat,+4000,46.5,48-34 (over),0.0244
Washington Wizards,+5500,45.5,41-41 (under),0.0179
Toronto Raptors,+6600,46.5,56-26 (over),0.0149
Milwaukee Bucks,+6800,42.5,33-49 (under),0.0145
Indiana Pacers,+9000,41.5,45-37 (over),0.011
Dallas Mavericks,+12000,36.5,42-40 (over),0.0083
Utah Jazz,+15000,42.5,40-42 (under),0.0066
Boston Celtics,+15500,45.5,48-34 (over),0.0064
Los Angeles Lakers,+20000,28.5,17-65 (under),0.005
New York Knicks,+24000,29.5,32-50 (over),0.0041
Detroit Pistons,+25000,36.5,44-38 (over),0.004
Brooklyn Nets,+30000,27.5,21-61 (under),0.0033
Portland Trail Blazers,+30000,28.5,44-38 (over),0.0033
Denver Nuggets,+30000,27.5,33-49 (over),0.0033
Minnesota Timberwolves,+30000,27.5,29-53 (over),0.0033
Phoenix Suns,+30000,36.5,23-59 (under),0.0033
Sacramento Kings,+30000,36.0,33-49 (under),0.0033
Charlotte Hornets,+35000,34.0,48-34 (over),0.0028
Orlando Magic,+50000,34.5,35-47 (over),0.002
Philadelphia 76ers,+100000,20.5,10-72 (under),0.001
