Team,Odds,W-L O/U,Result,Probability
Miami Heat,+225,60.5,66-16 (over),0.3077
Los Angeles Lakers,+275,58.5,45-37 (under),0.2667
Oklahoma City Thunder,+450,60.5,60-22 (under),0.1818
Chicago Bulls,+1200,47.5,45-37 (under),0.0769
San Antonio Spurs,+1600,54.5,58-24 (over),0.0588
Boston Celtics,+2000,51.5,41-40 (under),0.0476
Los Angeles Clippers,+2200,49.5,56-26 (over),0.0435
Brooklyn Nets,+2800,44.5,49-33 (over),0.0345
Indiana Pacers,+3300,51.5,49-32 (under),0.0294
New York Knicks,+3300,46.5,54-28 (over),0.0294
Dallas Mavericks,+3300,44.5,41-41 (under),0.0294
Memphis Grizzlies,+3300,48.5,56-26 (over),0.0294
Denver Nuggets,+5000,49.5,57-25 (over),0.0196
Philadelphia 76ers,+5000,47.5,34-48 (under),0.0196
Houston Rockets,+6600,31.5,45-37 (over),0.0149
Minnesota Timberwolves,+8000,39.5,31-51 (under),0.0123
Atlanta Hawks,+8000,42.5,44-38 (over),0.0123
Milwaukee Bucks,+10000,36.5,38-44 (over),0.0099
Portland Trail Blazers,+10000,34.5,33-49 (under),0.0099
Utah Jazz,+10000,42.5,43-39 (over),0.0099
Golden State Warriors,+15000,35.5,47-35 (over),0.0066
Orlando Magic,+15000,23.5,20-62 (under),0.0066
Phoenix Suns,+15000,33.5,25-57 (under),0.0066
New Orleans Hornets,+15000,26.5,27-55 (over),0.0066
Cleveland Cavaliers,+20000,31.5,24-58 (under),0.005
Washington Wizards,+20000,27.5,29-53 (over),0.005
Detroit Pistons,+20000,32.5,29-53 (under),0.005
Sacramento Kings,+25000,29.5,28-54 (under),0.004
Toronto Raptors,+25000,32.5,34-48 (over),0.004
Charlotte Bobcats,+50000,19.5,21-61 (over),0.002
