SEASON_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_ID,GAME_DATE,HWIN,HPLUSMINUS,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
22011,Houston Rockets,New Orleans Hornets,21100214,2012-01-19,W,2.0,0.0149,0.0066,4,4,0.5,0.1,0.4,0.6,0.7,0.3,0.5,0.214,97.4,86.7,97.8,91.9
22011,Philadelphia 76ers,Chicago Bulls,21100315,2012-02-01,W,16.0,0.0079,0.1538,4,4,0.7,0.7,0.5,0.5,0.8,0.7,0.7140000000000001,0.7829999999999999,97.5,96.9,86.1,87.4
22011,Atlanta Hawks,New Jersey Nets,21100042,2011-12-30,W,7.0,0.0196,0.0244,2,3,0.5,0.2,0.7,0.3,0.6,0.2,1.0,0.33299999999999996,103.5,79.3,76.5,94.7
22011,Oklahoma City Thunder,Portland Trail Blazers,21100079,2012-01-03,L,-10.0,0.125,0.0294,4,3,0.6,0.5,0.4,0.6,0.7,0.2,0.833,0.75,99.5,101.8,97.2,94.3
22011,Cleveland Cavaliers,Golden State Warriors,21100196,2012-01-17,L,-10.0,0.005,0.0079,4,4,0.5,0.3,0.7,0.3,0.6,0.2,0.5,0.33299999999999996,96.5,94.8,95.4,99.6
22011,Golden State Warriors,Portland Trail Blazers,21100269,2012-01-25,W,8.0,0.0079,0.0294,3,5,0.3,0.5,0.6,0.4,0.4,0.3,0.313,0.611,95.3,96.9,98.9,93.1
22011,New Orleans Hornets,Denver Nuggets,21100805,2012-04-04,W,2.0,0.0066,0.0149,4,3,0.3,0.5,0.4,0.6,0.3,0.5,0.245,0.547,88.9,103.5,93.7,102.0
22011,Portland Trail Blazers,New Jersey Nets,21100809,2012-04-04,W,13.0,0.0294,0.0244,4,4,0.4,0.4,0.8,0.2,0.5,0.5,0.46299999999999997,0.345,97.2,93.0,96.3,98.5
22011,Boston Celtics,Cleveland Cavaliers,21100292,2012-01-29,L,-1.0,0.0588,0.005,4,3,0.5,0.3,0.7,0.3,0.5,0.3,0.5,0.389,89.8,94.1,87.9,97.6
22011,Miami Heat,Phoenix Suns,21100678,2012-03-20,W,4.0,0.3077,0.0099,4,4,0.6,0.8,0.6,0.4,1.0,0.5,0.75,0.511,101.8,96.4,93.6,97.2
22011,Boston Celtics,Indiana Pacers,21100102,2012-01-06,L,-13.0,0.0588,0.0149,4,4,0.5,0.5,0.8,0.2,0.9,0.2,0.5710000000000001,0.667,95.4,93.0,93.0,93.8
22011,Detroit Pistons,Charlotte Bobcats,21100772,2012-03-31,W,3.0,0.005,0.005,4,4,0.3,0.2,0.6,0.4,0.6,0.2,0.353,0.14300000000000002,89.5,87.5,95.2,100.4
22011,Charlotte Bobcats,Golden State Warriors,21100171,2012-01-14,W,12.0,0.005,0.0079,5,3,0.1,0.3,0.6,0.4,0.2,0.1,0.16699999999999998,0.3,89.3,93.9,102.3,99.2
22011,Chicago Bulls,Portland Trail Blazers,21100647,2012-03-16,L,-11.0,0.1538,0.0294,3,4,0.9,0.3,0.4,0.6,0.8,0.3,0.8,0.465,98.3,97.1,89.2,95.2
22011,Indiana Pacers,Atlanta Hawks,21100144,2012-01-11,W,12.0,0.0149,0.0196,4,4,0.6,0.7,0.1,0.9,0.8,0.5,0.667,0.7,92.2,99.6,90.0,92.1
22011,Minnesota Timberwolves,Dallas Mavericks,21100061,2012-01-01,W,17.0,0.005,0.1053,3,4,0.0,0.5,0.1,0.9,0.2,0.7,0.0,0.25,98.7,97.0,101.7,102.5
22011,Indiana Pacers,Chicago Bulls,21100973,2012-04-25,L,-5.0,0.0149,0.1538,3,3,0.8,0.6,0.3,0.7,0.8,0.7,0.6459999999999999,0.75,97.9,96.3,94.4,88.4
22011,Detroit Pistons,Golden State Warriors,21100181,2012-01-15,L,-8.0,0.005,0.0079,4,3,0.3,0.3,0.6,0.4,0.4,0.1,0.25,0.273,84.9,94.5,94.3,100.4
22011,New Orleans Hornets,Orlando Magic,21100278,2012-01-27,W,26.0,0.0066,0.0385,3,4,0.1,0.7,0.5,0.5,0.1,0.6,0.16699999999999998,0.667,87.6,94.2,92.4,90.8
22011,Boston Celtics,Philadelphia 76ers,21100836,2012-04-08,W,24.0,0.0588,0.0079,4,3,0.7,0.4,0.6,0.4,0.8,0.3,0.564,0.527,91.3,93.1,89.5,88.2
